"平成28年度公共事業の用地取得に係る業務委託の随意契約結果","","","",""
"平成28年4月1日から平成28年12月8日までの分"

"契約機関","委託業務名","委託業務の内容","委託先","委託料の額（円）","契約日","随意契約の理由"
"那賀振興局建設部","公共用地取得事務委託","広域営農団地農道整備事業に係る用地取得業務","紀の川市","3872039.0","42590.0","当事業において地域に緻密な関係を有する紀の川市に用地補償説明業務を委託し、用地取得を円滑に進める必要があるため。",""
"有田振興局建設部","不動産鑑定業務","県道海南金屋線道路改良工事に係る意見書","藍畑不動産鑑定事務所","単価契約","42592.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","粉河加太線交通安全事業に係る不動産鑑定業務","株式会社
明和不動産鑑定所","単価契約","42597.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","三田海南線道路改良工事に係る意見書","くろしお鑑定","単価契約","42599.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","七瀬川河川整備工事に係る意見書","小川不動産鑑定事務所","単価契約","42613.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","和歌山橋本線交付金交通安全工事に係る不動産鑑定業務","小川不動産鑑定事務所","単価契約","42614.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","42618.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","藤谷川河川整備工事に係る不動産鑑定業務","株式会社　
井崎不動産鑑定事務所","単価契約","42618.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","藤谷川河川整備工事に係る不動産鑑定業務","株式会社　
井崎不動産鑑定事務所","単価契約","42618.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部　","不動産鑑定業務","県道境川金屋線道路改良工事に係る意見書","有限会社
衣奈不動産鑑定所","単価契約","42625.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","県道境川金屋線道路改良工事に係る意見書","有限会社
衣奈不動産鑑定所","単価契約","42625.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
